item_id,run_index,answer,gold,correct,format_valid,failures,response,collected_at,subject
0,1,C,C,1,1,0,C,2026-07-30T10:17:49.173367,abstract_algebra
0,2,C,C,1,1,0,C,2026-07-30T10:17:50.826108,abstract_algebra
0,3,C,C,1,1,0,C,2026-07-30T10:17:50.293574,abstract_algebra
0,4,C,C,1,1,0,C,2026-07-30T10:17:47.007738,abstract_algebra
0,5,C,C,1,1,0,C,2026-07-30T10:17:49.703466,abstract_algebra
0,6,C,C,1,1,0,C,2026-07-30T10:17:47.507111,abstract_algebra
0,7,C,C,1,1,0,C,2026-07-30T10:17:50.875591,abstract_algebra
0,8,C,C,1,1,0,C,2026-07-30T10:17:49.000760,abstract_algebra
0,9,C,C,1,1,0,C,2026-07-30T10:17:44.960580,abstract_algebra
0,10,C,C,1,1,0,C,2026-07-30T10:17:49.076837,abstract_algebra
1,1,A,A,1,1,0,A,2026-07-30T10:17:49.229847,abstract_algebra
1,2,A,A,1,1,0,A,2026-07-30T10:17:47.747339,abstract_algebra
1,3,A,A,1,1,0,A,2026-07-30T10:17:50.107320,abstract_algebra
1,4,A,A,1,1,0,A,2026-07-30T10:17:47.832068,abstract_algebra
1,5,A,A,1,1,0,A,2026-07-30T10:17:49.589659,abstract_algebra
1,6,A,A,1,1,0,A,2026-07-30T10:17:49.544759,abstract_algebra
1,7,A,A,1,1,0,A,2026-07-30T10:17:47.437062,abstract_algebra
1,8,A,A,1,1,0,A,2026-07-30T10:17:48.455507,abstract_algebra
1,9,A,A,1,1,0,A,2026-07-30T10:17:48.671608,abstract_algebra
1,10,A,A,1,1,0,A,2026-07-30T10:19:09.904288,abstract_algebra
2,1,D,D,1,1,0,D,2026-07-30T10:19:06.430365,abstract_algebra
2,2,D,D,1,1,0,D,2026-07-30T10:17:49.290133,abstract_algebra
2,3,D,D,1,1,0,D,2026-07-30T10:19:06.410500,abstract_algebra
2,4,D,D,1,1,0,D,2026-07-30T10:17:51.889585,abstract_algebra
2,5,D,D,1,1,0,D,2026-07-30T10:19:04.109552,abstract_algebra
2,6,D,D,1,1,0,D,2026-07-30T10:19:04.637949,abstract_algebra
2,7,D,D,1,1,0,D,2026-07-30T10:19:04.230225,abstract_algebra
2,8,D,D,1,1,0,D,2026-07-30T10:19:12.464049,abstract_algebra
2,9,D,D,1,1,0,D,2026-07-30T10:19:06.392507,abstract_algebra
2,10,D,D,1,1,0,D,2026-07-30T10:19:04.734339,abstract_algebra
3,1,C,B,0,1,0,C,2026-07-30T10:19:06.447237,abstract_algebra
3,2,C,B,0,1,0,C,2026-07-30T10:19:07.645454,abstract_algebra
