persona_id,question_id,run_index,rating,failures,response,collected_at
0,1,1,4,0,4,2025-10-24T15:50:03.687278
0,1,2,4,0,4,2025-10-24T15:50:05.817007
0,1,3,4,0,4,2025-10-24T15:50:08.024924
0,1,4,4,0,4,2025-10-24T15:50:08.747978
0,1,5,4,0,4,2025-10-24T15:50:10.120369
0,1,6,4,0,4,2025-10-24T15:50:10.644619
0,1,7,4,0,4,2025-10-24T15:50:13.257181
0,1,8,4,0,4,2025-10-24T15:50:14.921382
0,1,9,4,0,4,2025-10-24T15:50:15.591318
0,1,10,4,0,4,2025-10-24T15:50:16.276964
0,2,1,5,0,5,2025-10-24T15:50:17.342798
0,2,2,5,0,5,2025-10-24T15:50:18.051122
0,2,3,5,0,5,2025-10-24T15:50:19.723944
0,2,4,5,0,5,2025-10-24T15:50:20.339396
0,2,5,5,0,5,2025-10-24T15:50:21.130622
0,2,6,5,0,5,2025-10-24T15:50:21.692504
0,2,7,5,0,5,2025-10-24T15:50:22.847872
0,2,8,5,0,5,2025-10-24T15:50:23.584306
0,2,9,5,0,5,2025-10-24T15:50:24.172924
0,2,10,5,0,5,2025-10-24T15:50:24.891499
0,3,1,2,0,2,2025-10-24T15:50:25.528853
0,3,2,2,0,2,2025-10-24T15:50:26.543938
0,3,3,2,0,2,2025-10-24T15:50:27.317212
0,3,4,2,0,2,2025-10-24T15:50:27.818287
0,3,5,2,0,2,2025-10-24T15:50:28.408668
0,3,6,2,0,2,2025-10-24T15:50:29.077745
0,3,7,2,0,2,2025-10-24T15:50:30.001179
0,3,8,2,0,2,2025-10-24T15:50:30.715117
0,3,9,2,0,2,2025-10-24T15:50:31.335299
0,3,10,2,0,2,2025-10-24T15:50:32.134155
0,4,1,2,0,2,2025-10-24T15:50:32.695183
0,4,2,2,0,2,2025-10-24T15:50:33.368608
0,4,3,2,0,2,2025-10-24T15:50:34.055348
0,4,4,2,0,2,2025-10-24T15:50:34.877687
0,4,5,2,0,2,2025-10-24T15:50:35.456272
0,4,6,2,0,2,2025-10-24T15:50:36.114252
0,4,7,2,0,2,2025-10-24T15:50:36.946662
0,4,8,2,0,2,2025-10-24T15:50:37.602663
0,4,9,2,0,2,2025-10-24T15:50:38.128984
0,4,10,2,0,2,2025-10-24T15:50:38.680924
0,5,1,2,0,2,2025-10-24T15:50:39.408015
0,5,2,2,0,2,2025-10-24T15:50:39.998085
0,5,3,2,0,2,2025-10-24T15:50:40.743023
